Culture,Age,DIV,Genotype,mean_FR,median_FR,Total_FR,N_active_Es,meanSTTC,skewSTTC,netw_density,meanDegree,skewDegree,netw_size,CC1,PL1,GE1,SW1,RC1,BC1,CC2,PL2,GE2,SW2,RC2,BC2,mean_ISI_withinNbursts_ms,mean_ISI_outsideNbursts_ms,CVIofNBI,NBurstRate,frac_in_Nburst,num_RC_nodes_mean,GEraw
MPT190403_2B,DIV14,14,HE,0.802,0.08,6.416,8,0.064,-0.033857483,0.210526316,0.663157895,1.042450818,1.421052632,1,1,1,1,1,1,1.514456686,0.979689367,1.006632852,1.545853959,1.242236025,1.286332715,,,,,,5,0.767857143
MPT190403_2B,DIV21,21,HE,4.281,2.344,252.579,59,0.727,-0.495448919,0.918594498,45.29042264,-1.079698762,49.89473684,0.99998264,1,1,0.99998264,1,1,1.300083119,1,1,1.300083119,1.428571429,1.584844897,1.416458204,5.457,6.189,26.917,0.903,28,0.830917874
MPT190403_2B,DIV28,28,HE,2.363,1.333,137.054,58,0.581,0.233594759,0.779598285,35.07686796,-0.325169513,42.15789474,0.999928844,1,1,0.999928844,1,1.00009693,1.876127645,1,1,1.876127645,1.666666667,1.831973216,2.176939785,9.775,6.031,38.75,0.777,25,0.730957372
MPT190403_2B,DIV35,35,HE,0.74,0.383,42.92,58,0.61,-0.405029145,0.753868518,36.91220121,-0.545385723,42.68421053,0.999171635,0.999232268,1.00023599,0.99993932,1,1.087483071,1.514518052,1.000591366,0.999818545,1.513622946,1.428571429,1.637018118,1.537447368,29.669,4.449,3.167,0.703,24,0.780895692
MPT190403_6B,DIV14,14,WT,1.719,0.721,22.347,13,0.047,0.389426441,0.193719146,0.930075188,0.621119427,3.210526316,0.979131553,0.997280145,1.000807103,0.981801912,1.111111111,1.001988067,1.177453234,0.978647687,1.01750547,1.203143123,1.27388535,1.187365753,3.0978,44.663,1.405,0.833,0.024,8,0.794871795
MPT190403_6B,DIV21,21,WT,3.342,0.299,40.104,12,0.156,0.566544063,0.541133136,2.461403509,0.522554292,4.842105263,1.000348279,1,1,1.000348279,1,1.033440121,1.057662231,1,1,1.057662231,1,1.147735259,2.932713333,24.956,1.759,12.5,0.235,9,0.916666667
MPT190403_6B,DIV28,28,WT,5.635,1.277,135.24,24,0.176,-0.234275333,0.345650117,4.827167235,0.802815974,12.68421053,0.932253606,1.035437431,0.989364128,0.9003476,1,0.785542698,1.20932232,1.053521127,0.984323432,1.147886159,1.19760479,0.919430357,2.077158996,7.44,1.679,39.833,0.343,15,0.785902503
MPT190403_6B,DIV35,35,WT,3.897,0.432,128.601,33,0.165,-0.175483167,0.334449374,5.816010395,1.196560596,17.89473684,0.991996939,1.000412258,0.999883373,0.991588149,1,0.844454882,1.281817614,1.002754821,0.999222999,1.278296137,1.242236025,1.036392479,2.038255869,7.819,1.54,35.5,0.347,20,0.811868687
MPT190403_6C,DIV14,14,WT,2.52,0.912,25.2,10,0.199,-0.405238382,0.379323308,2.094068505,0.944553285,3.789473684,0.994995741,1,1,0.994995741,1,0.984246062,1.022582719,1,1,1.022582719,1,1.010562639,2.495493333,39.68,1.403,6.25,0.177,9,0.933333333
MPT190403_6C,DIV21,21,WT,2.537,0.331,53.277,21,0.181,-0.063199769,0.390928236,4.216747752,0.93078474,9.368421053,0.980136803,1.002070393,0.999493158,0.978111727,1,0.957123886,1.177669047,1.004149378,0.998986829,1.172802646,1.111111111,1.0911341,2.242954386,18.852,1.258,23.75,0.407,15,0.864912281
MPT190403_6C,DIV28,28,WT,3.309,0.344,99.27,30,0.166,0.200249207,0.344948521,5.528168852,1.000225997,13.42105263,1.000559234,0.996286568,1.00102298,1.004288592,1,1.080596485,1.247368779,1.001821494,0.999501744,1.245100836,1.041666667,1.560318502,2.152375904,10.183,1.389,34.583,0.378,11,0.823481117
MPT190403_6C,DIV35,35,WT,2.439,0.179,70.731,29,0.158,0.067358826,0.298503193,4.971926556,1.226556608,13,1.017722723,1.004662005,0.998778999,1.013000111,1,1.03984144,1.217266114,1.004662005,0.998778999,1.211617547,1.047120419,1.362950898,1.940907407,14.302,1.258,13.5,0.239,12,0.838974359
MPT190515_2B,DIV14,14,WT,0.235,0.021,0.94,4,-0.005,0,0,0,,0,0,3,0,0,0,0,0,3,0,0,0,0,,,,,,0,0
MPT190515_2B,DIV21,21,WT,1.119,0.604,11.19,10,0.072,0.486037301,0.664661654,1.626566416,0.016486255,3.157894737,0.999196787,1,1,0.999196787,1,1,1.408195608,1.019462465,0.993599512,1.381311874,1.652892562,1.342690288,2.780818182,88.738,0.962,0.917,0.049,7,0.75462963
MPT190515_2B,DIV28,28,WT,0.691,0.271,7.601,11,0.125,0.125217511,0.417710944,1.99122807,0.230222742,4,1.016379672,1,1,1.016379672,1,1,1.167396247,1,1,1.167396247,1.111111111,1.049901572,2.793333333,130.669,0.839,1,0.092,9,0.888888889
MPT190515_2B,DIV35,35,WT,9.08,1.078,90.8,10,0.088,0.343984853,0.316332498,1.004260652,0.521611322,3.263157895,1.008908266,1,1,1.008908266,1,0.929861445,1.034679432,1,1,1.034679432,1,0.881306373,3.113118644,11.02,5.249,19.667,0.149,8,0.888888889
MPT190515_3B,DIV14,14,WT,0.611,0.329,4.888,8,0.037,-0.035070264,0.222807018,0.501754386,0.178264961,1.842105263,1.048906049,1.042183623,0.987284966,1.006450328,1.015228426,1.182717837,1.142199309,1.076923077,0.977777778,1.060613644,1.069518717,1.328756505,,,,,,6,0.785714286
MPT190515_3B,DIV21,21,WT,1.394,0.832,16.728,12,0.093,0.296191809,0.299365839,1.309763044,0.788621518,3.842105263,1.000078938,1,1,1.000078938,1,1,1.105676141,1,1,1.105676141,1.111111111,1.173495722,,,,,,10,0.901515152
MPT190515_3B,DIV28,28,WT,0.189,0.124,2.079,11,0.066,0.18363964,0.282623225,1.006850459,1.23591054,2.210526316,0.997700871,1,1,0.997700871,1,1.01145213,1.391687012,0.997442455,1.000766871,1.39525544,1.098901099,1.103864155,,,,,,7,0.790909091
MPT190515_3B,DIV35,35,WT,0.272,0.14,1.904,7,0.099,0.081162862,0.503508772,0.956140351,0.837927177,1.578947368,1,1,1,1,1,1,1.058201058,1,1,1.058201058,1.25,1,,,,,,7,0.880952381
MPT190515_4B,DIV14,14,HE,5.075,1.153,86.275,17,0.104,0.641816108,0.605875093,2.624534263,0.949357986,6.052631579,1.000793038,1,1,1.000793038,1,1.071925279,1.190293554,1,1,1.190293554,1.092896175,1.234556545,2.02125,11.73,1.211,19,0.147,11,0.871323529
MPT190515_4B,DIV21,21,HE,6.958,0.736,118.286,17,0.176,0.949006434,0.519963275,3.309673316,1.348280613,8.526315789,1.007944888,1,1,1.007944888,1,1.00139975,1.071645021,1,1,1.071645021,1.111111111,1.121981074,2.652202454,8.503,1.734,54.333,0.449,15,0.919117647
MPT190515_4B,DIV28,28,HE,2.417,0.426,60.425,25,0.186,0.189823669,0.642425721,5.656872251,0.786959066,11.05263158,1.00276554,1.004026846,0.998906307,0.998743753,1,1.018389285,1.268088643,1.010810811,0.997088792,1.254526198,1.25,1.378223129,1.950498195,16.702,0.823,23.083,0.366,16,0.827294686
MPT190515_4B,DIV35,35,HE,1.273,0.601,29.279,23,0.236,-0.336589767,0.538297522,6.33926658,0.801770099,10.89473684,0.999242089,1,1,0.999242089,1,1.064808997,1.055163198,1,1,1.055163198,1.111111111,1.300573913,1.714351351,34.442,0.834,9.25,0.331,16,0.933333333
MPT190515_4C,DIV14,14,HE,2.188,1.392,15.316,7,0.084,0.363945109,0.284210526,0.710526316,1.546773974,1.421052632,1,1,1,1,1,1,1.069237511,1,1,1.069237511,1.030927835,1.111111111,2.764,65.077,,0.083,0.003,6,0.904761905
MPT190515_4C,DIV21,21,HE,4.458,0.807,35.664,8,0.174,-1.09964685,0.373934837,1.649122807,0.754259163,2.842105263,1.077654517,1.078431373,0.975975976,0.999279643,1.111111111,1.25,1.140283634,1.12244898,0.964391691,1.015889055,1.481481481,1.632653061,2.5084,28.019,2.198,2.5,0.061,7,0.773809524
MPT190515_4C,DIV28,28,HE,0.589,0.311,5.89,10,0.178,-0.647509826,0.470634921,2.391645781,0.31688607,3.473684211,0.981367242,1,1,0.981367242,1,0.973813421,0.990344302,1,1,0.990344302,1,0.976931286,2.441625,168.678,1.29,0.667,0.064,8,0.916666667
MPT190515_4C,DIV35,35,HE,0.701,0.433,6.309,9,0.214,-1.229232441,0.353258145,1.993107769,0.807584058,3.157894737,1,1,1,1,1,1,1.076104205,1,1,1.076104205,1.25,1,2.146166667,156.964,0.613,0.5,0.042,9,0.902777778
MPT190528_1B,DIV14,14,WT,2.391,0.401,11.955,5,0.019,0.522249652,0.157894737,0.157894737,1.876388375,0.315789474,,1,1,,1,1,0,1.024667932,0.945067927,0,1.19760479,1.081081081,,,,,,5,0.666666667
MPT190528_1B,DIV21,21,WT,0.606,0.274,6.06,10,0.035,0.667407445,0.331578947,0.596491228,-0.248525553,2.473684211,1.1457482,1,1,1.1457482,1,1.084674277,1.102697439,0.999194198,1.000228363,1.103586711,1.03626943,1.230637463,,,,,,5,0.811111111
